Row Labels,2016 June,2017 June,Term in 2017
Asian or Asian British - Any other Asian ethnic background (A9),39,27,Asian/Asian British - Any other Asian background
Asian or Asian British - Bangladeshi (A3),16,6,Asian/Asian British - Bangladeshi
Asian or Asian British - Indian (A1),50,37,Asian/Asian British - Indian
Asian or Asian British - Pakistani (A2),170,96,Asian/Asian British - Pakistani
Black or Black British - African (B2),62,32,Black/ African/Caribbean/Black British - African
Black or Black British - Any other Black ethnic background (B9),41,20,Black/ African/Caribbean/Black British - Any other Black/African/Caribbean background
Black or Black British - Caribbean (B1),130,97,Black/ African/Caribbean/Black British - Caribbean
Chinese or other ethnic group - Any other ethnic group (O9),1,,
Mixed - Any other Mixed ethnic background (M9),13,7,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background
Mixed - White and Asian (M3),7,4,Mixed/Multiple ethnic groups - White and Asian
Mixed - White and Black African (M2),7,13,Mixed/Multiple ethnic groups - White and Black African
Mixed - White and Black Caribbean (M1),49,24,Mixed/Multiple ethnic groups - White and Black Caribbean
Not Stated (NS),11,13,Other ethnic group - Not stated
White - Any other White ethnic background (W9),75,31,White - Any other White background
White - White British (W1),573,325,White - English/Welsh/Scottish/Northern Irish/British
White - White Irish (W2),4,3,White - Irish
Grand Total,1248,735,Grand Total
